patient_id,nhs_number,forename,surname,dob,dod,sex,sex_description,gender,gender_description,ethnicity,ethnicity_description,archived,created_date,modified_date
GSTT000001,1234567890,Muhammad,Ali,1990-01-15 00:00:00,,1,Male,1,Male,J,Asian or Asian British - Pakistani,N,1900-01-1 00:00:00,
GSTT000002,1234567891,James,Smith,1985-01-22 00:00:00,,1,Male,X,Not Known (not recorded),A,White - British,N,1900-01-1 00:00:00,
GSTT000003,1234567892,Li,Wang,2005-01-30 00:00:00,,1,Male,1,Male,R,Chinese,N,1900-01-1 00:00:00,
GSTT000004,1234567893,Rafael,García,1972-01-14 00:00:00,2021-01-19 00:00:00,1,Male,1,Male,S,Any Other Ethnic Group,N,1900-01-1 00:00:00,
GSTT000005,1234567894,Alexander,Johnson,1998-01-8 00:00:00,,1,Male,3,Non-binary,C,White - Any other White background,N,1900-01-1 00:00:00,
GSTT000006,1234567895,Ethan,Brown,2010-01-25 00:00:00,,1,Male,1,Male,A,White - British,N,1900-01-1 00:00:00,
GSTT000007,1234567896,Youssef,Hassan,1965-01-12 00:00:00,2008-01-11 00:00:00,1,Male,1,Male,S,Any Other Ethnic Group,N,1900-01-1 00:00:00,
GSTT000008,1234567897,Johan,Müller,1980-01-20 00:00:00,,1,Male,4,Other (not listed),C,White - Any other White background,N,1900-01-1 00:00:00,
GSTT000009,1234567898,Kaito,Tanaka,1995-01-4 00:00:00,,1,Male,1,Male,S,Any Other Ethnic Group,N,1900-01-1 00:00:00,
GSTT000010,1234567899,Noah,Miller,2012-01-15 00:00:00,,1,Male,1,Male,A,White - British,N,1900-01-1 00:00:00,
GSTT000011,1234567900,Amina,Ahmed,2001-01-27 00:00:00,,2,Female,1,Male,N,Black or Black British - African,N,1900-01-1 00:00:00,
GSTT000012,1234567901,Emma,Jones,1987-01-10 00:00:00,,2,Female,2,Female,A,White - British,N,1900-01-1 00:00:00,
GSTT000013,1234567902,Yuki,Suzuki,2003-01-18 00:00:00,,2,Female,2,Female,S,Any Other Ethnic Group,N,1900-01-1 00:00:00,
GSTT000014,1234567903,Sofia,Fernández,1978-01-1 00:00:00,,2,Female,2,Female,S,Any Other Ethnic Group,N,1900-01-1 00:00:00,
GSTT000015,1234567904,Ana,López,1993-01-2 00:00:00,,2,Female,3,Non-binary,S,Any Other Ethnic Group,N,1900-01-1 00:00:00,
GSTT000016,1234567905,Mia,Wilson,2015-01-23 00:00:00,,2,Female,3,Non-binary,A,White - British,N,1900-01-1 00:00:00,
GSTT000017,1234567906,Layla,Mohammed,1968-01-19 00:00:00,,2,Female,2,Female,S,Any Other Ethnic Group,N,1900-01-1 00:00:00,
GSTT000018,1234567907,Mei,Chen,1982-01-30 00:00:00,2023-01-9 00:00:00,2,Female,2,Female,R,Chinese,N,1900-01-1 00:00:00,
GSTT000019,1234567908,Charlotte,Davis,1990-01-21 00:00:00,,2,Female,4,Other (not listed),A,White - British,N,1900-01-1 00:00:00,
GSTT000020,1234567909,Amara,Nwosu,2008-01-14 00:00:00,,2,Female,2,Female,N,Black or Black British - African,N,1900-01-1 00:00:00,
GSTT000021,1234567910,Lucas,Silva,1976-01-28 00:00:00,2000-01-5 00:00:00,1,Male,3,Non-binary,S,Any Other Ethnic Group,N,1900-01-1 00:00:00,
GSTT000022,1234567911,Oliver,Wilson,1999-01-7 00:00:00,,1,Male,1,Male,A,White - British,N,1900-01-1 00:00:00,
GSTT000023,1234567912,Santiago,Rodríguez,1984-01-3 00:00:00,,9,Indeterminate (unable to be classified as either male or female),Z,Not Stated (person asked but declined to provide a response),S,Any Other Ethnic Group,N,1900-01-1 00:00:00,
GSTT000024,1234567913,Zainab,Ibrahim,1970-01-16 00:00:00,,2,Female,2,Female,N,Black or Black British - African,N,1900-01-1 00:00:00,
GSTT000025,1234567914,Aria,Thompson,2011-01-6 00:00:00,,2,Female,2,Female,A,White - British,N,1900-01-1 00:00:00,
